Temperature,Time,Intermediate MPG,MPG,EV pct,Notes
19,22,38,44.9,9,
13,21,34.6,43.1,6,
4,23,32.1,37.8,2,
32,23,45.2,51.8,20,
24,22,39,47.5,10,
57,22,51.6,57,16,
13,23,36.5,44.3,13,
19,22,39.2,47.6,11,
29,21,,52.7,10,
37,22,45.6,52.5,18,
45,20,47.2,56.2,13,
24,23,40.4,47.4,13,
16,22,,46.6,12,
15,23,,43.7,14,
19,22,38.3,45.5,11,
20,23,42.2,47.5,10,
28,24,44,50.9,19,
50,22,52.8,60.3,19,
39,22,44.1,51.1,10,
42,22,45.2,54.7,16,
26,23,,49,14,
36,21,44.9,52.7,10,
26,21,44.4,51.5,12,
28,22,40.6,49,9,
25,22,40,48.1,12,
30,20,42.4,50.2,11,
30,23,41.6,51,12,
30,21,43.9,52.9,11,
45,21,53.8,61.2,16,sch
38,22,45.1,54.2,14,
42,21,44.9,53.5,14,
28,21,38.9,49,15,
34,21,47.9,56,19,sch
38,23,48.2,58.2,19,sch
42,22,46.2,51.8,15,sch
34,22,42.4,49.3,14,
37,22,45.5,52.3,15,
34,20,44,50.4,11,
50,21,49.2,55.3,12,
43,22,50.2,56,15,
61,23,52.3,60.6,23,
53,21,50.8,57.7,14,
64,21,53,63.5,16,
69,21,53,61.5,19,sch
45,22,47.4,56,16,
61,22,57.4,63.9,19,
64,21,51.2,59.4,14,
68,21,50.5,60.1,11,
58,22,48.1,61,21,
59,20,50.4,57.9,16,
70,22,55.5,64.7,23,
77,22,56.4,63.9,15,
55,22,51.2,58.8,16,
69,21,52.6,60.7,12,
68,20,50.5,57.9,11,
62,21,52.3,60.1,14,
63,21,51.5,59.6,12,
65,22,54.2,63.2,14,
75,22,56.2,64.4,15,
79,22,56.8,66.8,20,
68,21,52.5,62.1,15,
65,22,53.5,61.3,16,
