Temperature,Intermediate MPG,Avg speed,Time,EV pct,MPG,Notes
13,37.5,32,26,17,44.2,
20,39.1,38,22,9,47.8,
34,43.1,39,21,13,52.7,
40,54.3,37,22,17,59.1,
38,44.4,36,23,18,53.7,
21,39.4,37,22,9,46.3,
14,35.8,39,21,10,44.4,
18,38.6,40,21,4,46.4,
27,42.6,38,22,9,49,
40,45,39,21,13,53.3,
56,48.3,41,20,11,56.2,
28,43.2,38,22,11,49.1,
37,47.7,39,21,14,55.9,
42,49.7,39,21,14,57.6,
21,41.2,35,24,12,48.5,
25,43.8,40,21,9,51.5,
19,40.5,38,22,12,48,
22,38.8,37,23,6,45,
21,44.7,38,21,11,51.1,sch
25,42.5,40,21,12,51.9,
35,46.5,37,22,17,53.8,
43,45.3,37,22,17,50.4,
43,45,40,20,9,53,
59,53.1,39,21,13,62.4,
21,40.5,36,23,13,47.7,
45,48.4,37,22,14,56.7,
